benchmark_name,status,correct,execution_time_seconds
nontermination/NO_24.c,False,yes,63.717999999999996
nontermination/while_infinite_loop_3.c,timeout,no,-
nontermination/NonTermination3-2.c,timeout,no,-
nontermination/UpAndDown.c,timeout,no,-
nontermination/WhileSingle.c,None,no,90.519
nontermination/Arrays02-EquivalentConstantIndices.c,timeout,no,-
nontermination/NestedRecursion_1a-2.c,None,no,0.15
nontermination/while_infinite_loop_1.c,timeout,no,-
nontermination/NO_02.c,False,yes,59.745000000000005
nontermination/GCD-1.c,False,yes,228.53
nontermination/MutualRecursion_1a.c,None,no,0.144
nontermination/array14_alloca.c,timeout,no,-
nontermination/cll_by_lseg_traverse-alloca.c,timeout,no,-
nontermination/NO_21.c,False,yes,59.187
nontermination/Ex07.c,False,yes,64.30600000000001
nontermination/WhilePart.c,None,no,86.03299999999999
nontermination/Rotation180-1.c,True,no,63.879999999999995
nontermination/array19_alloca.c,timeout,no,-
nontermination/jain_2-1.c,timeout,no,-
nontermination/test-0217.c,timeout,no,-
nontermination/stateful_check.c,timeout,no,-
nontermination/phases_2-2.c,timeout,no,-
nontermination/Narrowing.c,None,no,277.086
nontermination/Flip.c,False,yes,64.581
nontermination/GCD2.c,False,yes,177.12
nontermination/NO_23.c,False,yes,61.005
nontermination/Ex05.c,timeout,no,-
nontermination/MirrorIntervSim.c,False,yes,92.41199999999999
nontermination/psyco_math_1.c,timeout,no,-
nontermination/Velroyen-alloca.c,timeout,no,-
nontermination/UpAndDownIneq.c,timeout,no,-
nontermination/NonTermination3-1.c,timeout,no,-
nontermination/NO_03.c,False,yes,108.74600000000001
nontermination/NO_01.c,False,yes,95.64300000000001
nontermination/tree_dsw.c,timeout,no,-
nontermination/Urban-WST2013-Fig1.c,None,no,89.518
nontermination/Urban-2013WST-Fig1-alloca.c,timeout,no,-
nontermination/trex04.c,timeout,no,-
nontermination/recursion.c,None,no,1.994
nontermination/RecursiveNonterminating-1.c,None,no,0.073
nontermination/while_infinite_loop_2.c,timeout,no,-
nontermination/Ex03.c,None,no,90.84899999999999
unknown/Collatz.c,None,no,138.18699999999998
unknown/NonTermination2.c,None,no,200.788
